netflix_original_title,netflix_title,season_name,netflix_episode_title,expected_type,title,year,source_id,episode_title,found_source,had_override
7SEEDS: Part 1: Autumn Begins,7SEEDS,Part 1,Autumn Begins,series,,,,,,
7SEEDS: Part 1: Cold Dew,7SEEDS,Part 1,Cold Dew,series,,,,,,
7SEEDS: Part 1: End of Heat,7SEEDS,Part 1,End of Heat,series,,,,,,
7SEEDS: Part 1: Grain Rain,7SEEDS,Part 1,Grain Rain,series,,,,,,
7SEEDS: Part 1: Greater Heat,7SEEDS,Part 1,Greater Heat,series,,,,,,
7SEEDS: Part 1: Heavy Snow,7SEEDS,Part 1,Heavy Snow,series,,,,,,
7SEEDS: Part 1: Insects Awaken,7SEEDS,Part 1,Insects Awaken,series,,,,,,
7SEEDS: Part 1: Lesser Heat,7SEEDS,Part 1,Lesser Heat,series,,,,,,
7SEEDS: Part 1: Light Snow,7SEEDS,Part 1,Light Snow,series,,,,,,
7SEEDS: Part 1: Spring Begins,7SEEDS,Part 1,Spring Begins,series,,,,,,
7SEEDS: Part 1: Summer Solstice,7SEEDS,Part 1,Summer Solstice,series,,,,,,
7SEEDS: Part 1: Winter Solstice,7SEEDS,Part 1,Winter Solstice,series,,,,,,
7SEEDS: Part 2: Autumnal Equinox,7SEEDS,Part 2,Autumnal Equinox,series,,,,,,
7SEEDS: Part 2: Frost Descends,7SEEDS,Part 2,Frost Descends,series,,,,,,
7SEEDS: Part 2: Grain Full,7SEEDS,Part 2,Grain Full,series,,,,,,
7SEEDS: Part 2: Grain in Ear,7SEEDS,Part 2,Grain in Ear,series,,,,,,
7SEEDS: Part 2: Greater Cold,7SEEDS,Part 2,Greater Cold,series,,,,,,
7SEEDS: Part 2: Lesser Cold,7SEEDS,Part 2,Lesser Cold,series,,,,,,
7SEEDS: Part 2: Pure Brightness,7SEEDS,Part 2,Pure Brightness,series,,,,,,
7SEEDS: Part 2: Rain Water,7SEEDS,Part 2,Rain Water,series,,,,,,
7SEEDS: Part 2: Summer Begins,7SEEDS,Part 2,Summer Begins,series,,,,,,
7SEEDS: Part 2: Vernal Equinox,7SEEDS,Part 2,Vernal Equinox,series,,,,,,
7SEEDS: Part 2: White Dew,7SEEDS,Part 2,White Dew,series,,,,,,
7SEEDS: Part 2: Winter Begins,7SEEDS,Part 2,Winter Begins,series,,,,,,
Al Pitcher - Fy Fan Sweden!,Al Pitcher - Fy Fan Sweden!,,,movie,,,,,,
Alice in Borderland: Season 1: Episode 1,Alice in Borderland,Season 1,,series,,,,,imdb,
Alice in Borderland: Season 2: Episode 1,Alice in Borderland,Season 2,,series,,,,,imdb,
Along with the Gods: The Last 49 Days,Along with the Gods,,The Last 49 Days,series,,,,,,
Along with the Gods: The Two Worlds,Along with the Gods,,The Two Worlds,series,,,,,,
Annihilation,Annihilation,,,movie,Animation!,2006,,,anime,
Awake,Awake,,,series,,1984,tt1839683,,anime+imdb,
"BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1: Rampage","BASTARD‼ -Heavy Metal, Dark Fantasy-",Season 1,Rampage,series,,,,,,
"BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1: The Arrival","BASTARD‼ -Heavy Metal, Dark Fantasy-",Season 1,The Arrival,series,,,,,,
Bee and PuppyCat: Again for the First Time,Bee and PuppyCat,,Again for the First Time,series,Bee and PuppyCat,2013,tt4163486,,imdb,yes
Below Deck Mediterranean: Preview Special,Below Deck Mediterranean,,Preview Special,series,Below Deck Mediterranean,2016,tt5665418,,imdb,yes
Blazing Transfer Students: Enter the Kakerus!!,Blazing Transfer Students,,Enter the Kakerus!!,series,,,,,,
Bleach,Bleach,,,series,Bleach,2004,tt0434665,,anime+imdb,yes
Borderliner: Anniken’s Chase,Borderliner,,Anniken’s Chase,series,,,,,,
Borderliner: Bengt’s Fate,Borderliner,,Bengt’s Fate,series,,,,,,
Borderliner: Hans Olav’s Secret,Borderliner,,Hans Olav’s Secret,series,,,,,,
Borderliner: Josef’s Chance,Borderliner,,Josef’s Chance,series,,,,,,
Borderliner: Lars’ Deception,Borderliner,,Lars’ Deception,series,,,,,,
Borderliner: Milla’s Future,Borderliner,,Milla’s Future,series,,,,,,
Borderliner: Nikolai’s Dilemma,Borderliner,,Nikolai’s Dilemma,series,,,,,,
Borderliner: Ove’s Testimony,Borderliner,,Ove’s Testimony,series,,,,,,
Borgen - Power & Glory: A Near-Arctic State,Borgen - Power & Glory,,A Near-Arctic State,series,Rome: Power & Glory,1998,tt0237666,,imdb,
Borgen - Power & Glory: Inuit Nunaat: Land of the People,Borgen - Power & Glory,,Inuit Nunaat: Land of the People,series,Rome: Power & Glory,1998,tt0237666,,imdb,
Borgen - Power & Glory: Just Make It Go Away,Borgen - Power & Glory,,Just Make It Go Away,series,Rome: Power & Glory,1998,tt0237666,,imdb,
Borgen - Power & Glory: Power in Denmark,Borgen - Power & Glory,,Power in Denmark,series,Rome: Power & Glory,1998,tt0237666,,imdb,
Borgen - Power & Glory: The Minister Doesn’t Wish to Comment,Borgen - Power & Glory,,The Minister Doesn’t Wish to Comment,series,Rome: Power & Glory,1998,tt0237666,,imdb,
Bubble,Bubble,,,series,,2022,tt0965404,,anime+imdb,
Call of the Night: 3Rd Night: A Lot Came Out,Call of the Night,,A Lot Came Out,series,,,,,imdb,
Call of the Night: 2Nd Night: Do You Do Line?,Call of the Night,,Do You Do Line?,series,,,,,imdb,
Call of the Night: 1St Night: First Flight,Call of the Night,,First Flight,series,,,,,imdb,
CAROLE & TUESDAY: Part 2: A Change is Gonna Come,CAROLE & TUESDAY,Part 2,A Change is Gonna Come,series,Carole & Tuesday,2019,tt8107988,A Change is Gonna Come,anime+imdb,yes
CAROLE & TUESDAY: Part 2: Just Like Heaven,CAROLE & TUESDAY,Part 2,Just Like Heaven,series,Carole & Tuesday,2019,tt8107988,Just Like Heaven,anime+imdb,yes
Chef's Table: Volume 6: Mashama Bailey,Chef's Table: Volume 6,,Mashama Bailey,series,Chef's Table: Noodles,2024,tt33323674,,imdb,
Chosen: Call Mads,Chosen,,Call Mads,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: Have You Heard?,Chosen,,Have You Heard?,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: Just Think of Queen Margrethe,Chosen,,Just Think of Queen Margrethe,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: The Fact That Meteors Are Made of Glass Is Pretty Crazy!,Chosen,,The Fact That Meteors Are Made of Glass Is Pretty Crazy!,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: You Hold It with Your Fingers. You Eat It with Your Mouth,Chosen,,You Hold It with Your Fingers. You Eat It with Your Mouth,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: You Still Want Everything to Be About You,Chosen,,You Still Want Everything to Be About You,series,Chosen,2013,tt2390334,,imdb,yes
Cowboy Bebop: Binary Two-Step,Cowboy Bebop,,Binary Two-Step,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Blue Crow Waltz,Cowboy Bebop,,Blue Crow Waltz,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Callisto Soul,Cowboy Bebop,,Callisto Soul,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Darkside Tango,Cowboy Bebop,,Darkside Tango,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Dog Star Swing,Cowboy Bebop,,Dog Star Swing,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Galileo Hustle,Cowboy Bebop,,Galileo Hustle,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Sad Clown A-Go-Go,Cowboy Bebop,,Sad Clown A-Go-Go,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Supernova Symphony,Cowboy Bebop,,Supernova Symphony,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Venus Pop,Cowboy Bebop,,Venus Pop,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Daybreak: Canta Tu Vida,Daybreak,,Canta Tu Vida,series,,,,,,
Daybreak: Homecoming Redux or My So Called Stunt Double Life,Daybreak,,Homecoming Redux or My So Called Stunt Double Life,series,,,,,,
Daybreak: Josh vs. the Apocalypse: Part 1,Daybreak,,Josh vs. the Apocalypse: Part 1,series,Daybreak: Josh vs. the Apocalypse,,,,,
